Year,StateAb,DivisionNm,PartyAb,OrdinaryVotes,Percentage
2007,TAS,Lyons,Other,5867,11.011636636636636
2007,TAS,Lyons,Other Right,1169,2.194069069069069
2007,VIC,Aston,ALP,27303,39.856648613929316
2007,VIC,Aston,COAL,34353,50.148168693341894
2007,VIC,Aston,GRN,3393,4.953067748857714
2007,VIC,Aston,Other,1054,1.5386187466242354
2007,VIC,Aston,Other Right,2400,3.503496197246836
2007,VIC,Ballarat,ALP,34359,50.696432260158765
2007,VIC,Ballarat,COAL,25508,37.63685189010535
2007,VIC,Ballarat,GRN,5402,7.970608197833978
2007,VIC,Ballarat,Other Right,2505,3.6961076519019094
2007,VIC,Batman,ALP,37182,58.195990045546324
2007,VIC,Batman,COAL,12842,20.099857569923778
2007,VIC,Batman,GRN,10702,16.750403030160744
2007,VIC,Batman,Other,1471,2.3023587046688894
2007,VIC,Batman,Other Right,1694,2.6513906497002706
2007,VIC,Bendigo,ALP,34119,47.645580226225384
2007,VIC,Bendigo,COAL,27089,37.82851557045105
2007,VIC,Bendigo,GRN,5175,7.226644323418517
